Artista,Stile Predominante,Numero di Opere
andreas-achenbach,romanticism,80
andrei-ryabushkin,realism,27
andres-de-santa-maria,impressionism,10
andrew-wyeth,contemporary realism,134
andrey-allakhverdov-0,expressionism,25
andrey-shishkin,realism,3
andrzej-nowacki,abstract art,6
andy-warhol,pop art,167
angel-planells,surrealism,26
angelica-kauffman,neoclassicism,26
angelo-de-sousa,minimalism,8
angelo-zoffoli,romanticism,18
anima-ehtiat,cubism,1
anita-malfatti,post-impressionism,23
anna-ancher,impressionism,6
anna-katarina-boberg,art nouveau (modern),5
anna-ostroumova-lebedeva,art nouveau (modern),80
anne-appleby,color field painting,34
anne-louis-girodet,romanticism,16
anne-ryan,abstract expressionism,26
anne-truitt,color field painting,13
anne-vallayer-coster,rococo,14
anni-albers,abstract art,27
annibale-carracci,baroque,80
anselm-kiefer,expressionism,4
ant-nio-de-carvalho-da-silva-porto,realism,12
anthony-padgett,post-impressionism,27
anthony-van-dyck,baroque,155
antoine-blanchard,impressionism,178
antoine-jean-gros,neoclassicism,13
antoine-pesne,rococo,53
antoine-watteau,rococo,46
anton-azbe,realism,17
anton-heyboer,minimalism,10
anton-mauve,realism,19
anton-melbye,romanticism,14
anton-mitov,realism,13
anton-raphael-mengs,neoclassicism,30
antonello-da-messina,early renaissance,41
antoni-tapies,art informel,37
antonietta-brandeis,realism,8
antonietta-raphael,expressionism,21
antonio-areal,pop art,8
antonio-berni,pop art,2
antonio-cabral-bejarano,academicism,2
antonio-calderara,minimalism,23
antonio-canova,neoclassicism,2
antonio-carneiro,realism,9
antonio-ciseri,romanticism,11
antonio-corpora,abstract expressionism,15
antonio-dacosta,surrealism,11
antonio-de-la-gandara,realism,4
antonio-del-pollaiolo,early renaissance,14
antonio-donghi,magic realism,19
antonio-jacobsen,realism,43
antonio-ligabue,naïve art (primitivism),13
antonio-lopez,surrealism,1
antonio-palolo,neo-expressionism,11
antonio-sanfilippo,art informel,21
apollinariy-goravskiy,romanticism,11
ara-bekaryan,realism,2
archibald-motley,art deco,40
aristarkh-lentulov,post-impressionism,6
arkady-rylov,symbolism,45
arkhip-kuindzhi,impressionism,116
arman-manookian,naïve art (primitivism),26
armand-guillaumin,impressionism,52
armand-henrion,expressionism,16
armando-reveron,impressionism,15
arnold-bocklin,symbolism,77
arnulf-rainer,neo-expressionism,9
arsen-savadov,contemporary realism,4
arshak-fetvadjian,realism,4
arshile-gorky,surrealism,23
artemisia-gentileschi,baroque,11
artesense,abstract art,1
arthur-beecher-carles,post-impressionism,8
arthur-dove,abstract art,9
arthur-hughes,romanticism,26
arthur-lismer,art nouveau (modern),1
arthur-lowe,impressionism,2
arthur-pan,realism,8
arthur-pinajian,abstract expressionism,17
arthur-rackham,art nouveau (modern),160
arthur-segal,realism,12
arthur-streeton,impressionism,25
arthur-verona,impressionism,17
artin-demirci,abstract art,6
artist,style,1
arturo-michelena,romanticism,18
arturo-souto,expressionism,55
artus-scheiner,art nouveau (modern),90
ary-scheffer,romanticism,4
asger-jorn,art informel,19
asgrimur-jonsson,impressionism,20
asher-brown-durand,romanticism,65
atsuko-tanaka,abstract expressionism,16
aubrey-beardsley,art nouveau (modern),228
audrey-flack,abstract expressionism,5
august-friedrich-schenck,romanticism,2
august-macke,expressionism,76
auguste-edouart,romanticism,12
auguste-herbin,cubism,18
auguste-rodin,impressionism,11
auguste-toulmouche,academicism,23
augustus-john,post-impressionism,72
aurel-cojan,art informel,27
austin-osman-spare,symbolism,6
avanesov-vladislav,realism,3
avigdor-arikha,contemporary realism,53
aydin-aghdashloo,neo-expressionism,7
babken-kolozyan,expressionism,3
bahman-mohasses,expressionism,14
balcomb-greene,abstract art,9
balthus,expressionism,78
barbara-longhi,mannerism (late renaissance),5
barnett-newman,color field painting,76
barrington-watson,expressionism,11
bartolome-esteban-murillo,baroque,181
bartolomeo-passerotti,mannerism (late renaissance),20
bartolomeo-veneto,high renaissance,31
basil-beattie,abstract expressionism,11
basuki-abdullah,realism,28
beatrix-potter,art nouveau (modern),32
beauford-delaney,expressionism,17
bela-czobel,post-impressionism,13
bela-kadar,cubism,7
ben-nicholson,cubism,13
ben-vollers,abstract expressionism,5
benito-quinquela-martin,impressionism,19
benjamin-brown,impressionism,21
benjamin-constant,romanticism,16
benjamin-west,rococo,46
benny-andrews,expressionism,28
benozzo-gozzoli,early renaissance,145
benvenuto-tisi,mannerism (late renaissance),21
bernard-buffet,expressionism,27
bernard-cohen,minimalism,15
bernard-schultze,art informel,19
bernard-van-orley,northern renaissance,3
bernardino-luini,high renaissance,27
bernardo-bellotto,rococo,91
bernardo-marques,art deco,11
bernardo-strozzi,baroque,40
bernd-luz,pop art,8
bernhard-strigel,northern renaissance,32
bertalan-por,post-impressionism,18
bertalan-szekely,romanticism,2
berthe-morisot,impressionism,240
berthold-woltze,romanticism,14
bertold-loffler,art nouveau (modern),2
betty-goodwin,neo-expressionism,12
betty-parsons,abstract expressionism,22
bice-lazzari,art informel,22
bill-oconnor,impressionism,1
billy-apple,pop art,15
billy-childish,expressionism,14
blinky-palermo,abstract expressionism,13
bob-law,minimalism,12
boleslas-biegas,symbolism,3
boris-bucan,expressionism,4
boris-grigoriev,expressionism,29
boris-kustodiev,realism,371
boris-margo,surrealism,21
boris-schatz,impressionism,2
bozoky-maria,expressionism,187
bradley-walker-tomlin,abstract expressionism,20
bram-van-velde,lyrical abstraction,24
brett-whiteley,neo-expressionism,6
brice-marden,minimalism,53
bridget-riley,color field painting,5
brion-gysin,surrealism,1
briton-riviere,academicism,23
bruce-nauman,minimalism,3
bruno-canova,surrealism,4
bruno-cassinari,expressionism,3
bruno-munari,pop art,1
bruno-schulz,expressionism,23
bui-xuan-phai,expressionism,14
burhan-dogancay,pop art,18
byam-shaw,art nouveau (modern),20
c-r-w-nevinson,expressionism,25
cagnaccio-di-san-pietro,magic realism,17
callum-innes,minimalism,15
cameron-platter,abstract art,2
camille-bombois,naïve art (primitivism),29
camille-corot,realism,417
camille-pissarro,impressionism,793
canaletto,baroque,29
candido-portinari,expressionism,31
caravaggio,baroque,16
carel-fabritius,baroque,18
carel-willink,magic realism,26
carl-bloch,academicism,18
carl-buchheister,art informel,15
carl-gustav-rodde,romanticism,10
carl-holsoe,expressionism,9
carl-larsson,art nouveau (modern),89
carl-ludwig-johann-christineck,rococo,29
carl-spitzweg,romanticism,1
carla-accardi,art informel,19
carle-vernet,neoclassicism,106
carlo-carra,neoclassicism,14
carlo-crivelli,early renaissance,90
carlo-urbino,mannerism (late renaissance),3
carloluigi-colombo,surrealism,20
carlos-alonso,expressionism,4
carlos-botelho,expressionism,18
carlos-merida,cubism,24
carlos-nadal,fauvism,9
carlos-orozco-romero,magic realism,9
carlos-quizpez-asin,expressionism,8
carlos-saenz-de-tejada,art nouveau (modern),24
carmen-herrera,color field painting,11
carmen-oses-hidalgo,post-impressionism,5
carolus-duran,realism,75
caspar-david-friedrich,romanticism,120
cassandre,art deco,9
cassius-marcellus-coolidge,romanticism,3
cesar-paternosto,color field painting,1
chaim-soutine,expressionism,100
chaldin-alex,fauvism,2
chang-dai-chien,expressionism,1
charles-alston,expressionism,2
charles-andre-van-loo-carle-van-loo,rococo,74
charles-atamian,realism,2
charles-blackman,expressionism,139
charles-conder,impressionism,10
charles-cottet,post-impressionism,16
charles-courtney-curran,impressionism,13
charles-de-steuben,romanticism,34
charles-demuth,expressionism,13
charles-e-burchfield,expressionism,2
charles-francois-daubigny,realism,94
charles-garabedian,contemporary realism,25
charles-gibbons,lyrical abstraction,9
charles-gleyre,romanticism,10
charles-hermans,realism,16
charles-jacque,realism,25
charles-lapicque,fauvism,29
charles-le-brun,baroque,49
charles-m-russell,romanticism,264
charles-martin-powell,academicism,14
charles-maurin,post-impressionism,7
charles-meryon,realism,18
charles-reiffel,post-impressionism,12
charles-rennie-mackintosh,art nouveau (modern),49
charles-robinson,art nouveau (modern),41
charles-spencelayh,academicism,15
charles-sprague-pearce,academicism,8
charles-turner,romanticism,226
charles-william-mitchell,romanticism,3
charles-willson-peale,rococo,65
charlet,romanticism,24
charlotte-posenenske,art informel,16
chicote-cfc,academicism,7
childe-hassam,impressionism,540
chris-ofili,neo-expressionism,38
christen-kobke,romanticism,21
christian-august-lorentzen,neoclassicism,10
christian-boltanski,expressionism,1
christian-ludwig-attersee,pop art,17
christian-rohlfs,expressionism,27
christian-schad,magic realism,34
christian-wilhelm-allers,realism,21
christina-robertson,academicism,32
christo-coetzee,lyrical abstraction,5
christoffer-wilhelm-eckersberg,neoclassicism,12
christopher-wilmarth,minimalism,5
christopher-wood,post-impressionism,25
chronis-botsoglou,expressionism,47
chu-teh-chun,lyrical abstraction,19
cima-da-conegliano,high renaissance,29
clara-peeters,baroque,10
clara-southern,impressionism,11
clarence-gagnon,impressionism,103
clarence-holbrook-carter,magic realism,25
claude-deruet,baroque,8
claude-georges,art informel,9
claude-joseph-vernet,neoclassicism,33
claude-lorrain,baroque,11
claude-monet,impressionism,1346
claude-tousignant,color field painting,2
claude-viallat,color field painting,21
claudio-castillo,expressionism,10
claudio-coello,baroque,14
claudio-tozzi,pop art,13
clyfford-still,color field painting,18
colette-pope-heldner,impressionism,14
columbano-bordalo-pinheiro,realism,16
conrad-marca-relli,abstract expressionism,52
conroy-maddox,surrealism,53
constant-permeke,expressionism,31
constant-troyon,realism,33
constantin-artachino,impressionism,28
constantin-blendea,abstract art,23
constantin-brancusi,naïve art (primitivism),2
constantin-daniel-rosenthal,romanticism,10
constantin-flondor,abstract art,25
constantin-guys,realism,26
constantin-piliuta,post-impressionism,54
constantin-stahi,realism,16
consuelo-hernandez,realism,9
corneille,art informel,17
cornelis-de-vos,baroque,17
cornelis-norbertus-gysbrechts,baroque,9
cornelis-springer,romanticism,71
cornelis-van-noorde,baroque,18
cornelis-vreedenburgh,impressionism,49
corneliu-baba,expressionism,23
corneliu-michailescu,expressionism,8
corrado-zani,expressionism,10
correggio,high renaissance,32
costas-niarchos,expressionism,21
costigliolo,cubism,1
costin-brateanu,abstract art,6
craig-kauffman,abstract expressionism,5
craig-mullins,realism,26
cristiano-tassinari,contemporary realism,9
cristovao-de-figueiredo,northern renaissance,12
cuno-amiet,post-impressionism,43
currier-and-ives,romanticism,132
cy-twombly,abstract expressionism,84
cyril-power,expressionism,2
d-jeffrey-mims,contemporary realism,8
daan-lemaire,abstract expressionism,10
dadamaino,minimalism,4
dado,surrealism,17
dale-hickey,pop art,10
damien-hirst,expressionism,2
dan-christensen,abstract expressionism,14
dan-flavin,minimalism,1
dana-levin,contemporary realism,6
dana-schutz,neo-expressionism,73
daniel-buren,minimalism,6
daniel-dezeuze,minimalism,5
daniel-richter,neo-expressionism,10
daniel-ridgway-knight,realism,22
daniele-da-volterra,mannerism (late renaissance),13
danielson-gambogi-elin,realism,60
danny-daniel-dimauro,abstract art,7
dante-gabriel-rossetti,romanticism,153
darren-waterston,lyrical abstraction,10
darwin-stead,abstract art,4
david-alfaro-siqueiros,expressionism,18
david-allan,romanticism,40
david-bailly,baroque,15
david-batchelor,minimalism,3
david-bates,realism,33
david-bomberg,expressionism,8
david-bowie,neo-expressionism,13
david-burliuk,post-impressionism,136
david-cox,romanticism,134
david-davies,impressionism,13
david-hare,abstract expressionism,2
david-james,realism,28
david-johnson,romanticism,33
david-kakabadze,expressionism,29
david-lynch,neo-expressionism,6
david-michael-hinnebusch,neo-expressionism,25
david-morier,rococo,11
david-park,neo-expressionism,17
david-roberts,romanticism,8
david-scott,romanticism,13
david-smith,abstract expressionism,1
david-teniers-the-younger,baroque,64
david-wilkie,romanticism,29
deborah-azzopardi,pop art,20
defendente-ferrari,high renaissance,16
denise-green,neo-expressionism,15
derek-boshier,pop art,18
desmond-morris,surrealism,35
diego-rivera,art deco,22
diego-velazquez,baroque,131
dieter-asmus,pop art,16
dieter-roth,pop art,3
dimitris-mytaras,expressionism,58
ding-yanyong,expressionism,41
dirck-van-baburen,baroque,5
dirk-bouts,northern renaissance,43
dmitri-zhilinsky,contemporary realism,7
dmitry-levitzky,rococo,105
dmytro-kavsan,neo-expressionism,1
dobri-dobrev,realism,11
dolfi-trost,surrealism,24
domenico-fiasella,baroque,21
domenico-ghirlandaio,early renaissance,105
domenico-gnoli,surrealism,11
domenico-tintoretto,mannerism (late renaissance),34
domenico-veneziano,early renaissance,16
domingos-sequeira,neoclassicism,9
dominique-rousseau,abstract art,4
donald-sultan,neo-expressionism,13
donato-bramante,high renaissance,10
dora-boneva,expressionism,7
dorothea-tanning,surrealism,32
dorothy-lathrop,art nouveau (modern),115
dorrit-black,cubism,28
dosso-dossi,high renaissance,29
doug-ohlson,color field painting,16
doug-wheeler,minimalism,1
douglas-huebler,abstract expressionism,1
dumitru-ghiatza,post-impressionism,19
dumitru-gorzo,neo-expressionism,6
eastman-johnson,realism,140
edelfelt-albert,realism,67
edgar-degas,impressionism,583
edith-vonnegut,naïve art (primitivism),20
edmund-blair-leighton,romanticism,1
edmund-charles-tarbell,impressionism,21
edmund-dulac,art nouveau (modern),96
edouard-cortes,post-impressionism,226
edouard-de-biefve,romanticism,1
edouard-debat-ponsan,academicism,8
edouard-manet,impressionism,120
edouard-riou,romanticism,119
edouard-vuillard,post-impressionism,57
eduard-isabekyan,symbolism,5
eduard-von-gebhardt,realism,13
eduard-von-grutzner,romanticism,14
eduardo-arroyo,pop art,7
eduardo-nery,abstract expressionism,6
eduardo-paolozzi,pop art,11
eduardo-viana,post-impressionism,7
edvard-munch,expressionism,161
edvard-weie,post-impressionism,12
edward-avedisian,lyrical abstraction,12
edward-burne-jones,romanticism,113
edward-corbett,abstract expressionism,9
edward-e-simmons,realism,6
edward-henry-potthast,impressionism,34
edward-hicks,naïve art (primitivism),68
edward-hopper,impressionism,7
edward-krasinski,minimalism,2
edward-ladell,realism,10
edward-lear,romanticism,24
edward-moran,impressionism,20
edward-poynter,academicism,10
edward-r-taylor,romanticism,15
edward-robert-hughes,romanticism,51
edward-ruscha,pop art,37
edward-wadsworth,surrealism,22
edwin-austin-abbey,romanticism,7
edwin-dickinson,expressionism,16
edwin-henry-landseer,romanticism,46
efim-volkov,realism,34
egon-schiele,expressionism,210
eileen-agar,surrealism,30
el-greco,mannerism (late renaissance),165
el-hispaleto,romanticism,1
el-lissitzky,naïve art (primitivism),5
elaine-de-kooning,abstract expressionism,23
eleanor-fortescue-brickdale,romanticism,89
elena-bontea,expressionism,11
elenore-abbott,art nouveau (modern),5
eleonora-brigalda-barbas,contemporary realism,1
elisabeth-sonrel,art nouveau (modern),17
eliseu-visconti,impressionism,17
elizabeth-thompson,romanticism,37
ellsworth-kelly,minimalism,25
elman-espana,pop art,7
elmer-bischoff,expressionism,23
emanuel-gottlieb-leutze,romanticism,5
emil-carlsen,impressionism,20
emil-nolde,expressionism,47
emile-bernard,post-impressionism,7
emile-claus,realism,10
emile-galle,art nouveau (modern),18
emile-prisse-davennes,realism,10
emilio-grau-sala,fauvism,18
emilio-scanavino,art informel,12
emily-carr,post-impressionism,18
emma-odette,neo-expressionism,1
emmanuel-zairis,impressionism,10
endre-balint,surrealism,9
endre-bartos,expressionism,30
endre-rozsda,post-impressionism,7
enrico-baj,art informel,8
enrico-castellani,art informel,3
enrico-donati,surrealism,22
enrico-prampolini,surrealism,9
enrique-martinez-celaya,contemporary realism,11
enzo-cucchi,neo-expressionism,35
eric-fischl,contemporary realism,69
eric-gill,art deco,19
eric-ravilious,magic realism,89
erich-heckel,expressionism,17
erik-bulatov,abstract art,2
erik-masskholder,surrealism,5
erik-sigerud,neo-expressionism,1
erin-hanson,expressionism,8
ernest-meissonier,realism,9
ernst-ludwig-kirchner,expressionism,356
ernst-wilhelm-nay,art informel,35
erol-akyavas,surrealism,6
erro,pop art,30
erte,art deco,347
esaias-van-de-velde,baroque,49
esteban-frances,surrealism,20
esteban-vicente,abstract expressionism,39
etel-adnan,color field painting,5
ethel-carrick,impressionism,13
ethel-reed,art nouveau (modern),46
ettore-spalletti,minimalism,6
eug-ne-grasset,art nouveau (modern),31
eugene-bidau,academicism,6
eugene-boudin,impressionism,485
eugene-brands,art informel,54
eugene-burnand,realism,17
eugene-carriere,symbolism,20
eugene-de-blaas,academicism,82
eugene-delacroix,romanticism,105
eugene-leroy,art informel,64
eugene-von-guerard,romanticism,75
eugeniusz-ak,post-impressionism,16
eustache-le-sueur,baroque,28
eva-gonzales,impressionism,23
eva-hesse,abstract expressionism,6
eva-janina-wieczorek,realism,4
evelyn-de-morgan,romanticism,54
evelyne-axell,pop art,28
evgeniy-evgenevich,art nouveau (modern),15
eyvind-earle,magic realism,422
f-lix-del-marle,abstract art,4
fabio-de-sanctis,surrealism,7
fairfield-porter,contemporary realism,20
fede-galizia,mannerism (late renaissance),12
federico-zandomeneghi,impressionism,36
fedir-krychevsky,art nouveau (modern),6
felice-casorati,expressionism,14
felicien-rops,symbolism,67
felipe-de-vicente,abstract art,120
felix-labisse,surrealism,24
felix-louis-leullier,romanticism,3
felix-vallotton,art nouveau (modern),119
ferdinand-bol,baroque,74
ferdinand-georg-waldm-ller,romanticism,38
ferdinand-hodler,art nouveau (modern),96
ferdynand-ruszczyc,impressionism,26
fern-coppedge,impressionism,14
fernand-combes,impressionism,19
fernand-khnopff,symbolism,20
fernand-leduc,color field painting,10
fernand-leger,cubism,139
fernando-botero,naïve art (primitivism),160
fernando-calhau,minimalism,6
fernando-de-szyszlo,abstract art,13
fernando-garcia-ponce,abstract expressionism,12
fernando-lanhas,abstract art,14
fikret-mualla-saygi,fauvism,18
filipp-malyavin,art nouveau (modern),15
filippino-lippi,early renaissance,17
filippo-brunelleschi,early renaissance,3
filippo-de-pisis,expressionism,13
filippo-lippi,early renaissance,97
firmin-baes,impressionism,11
florin-maxa,art informel,2
fons-heijnsbroek,abstract art,7
ford-madox-brown,romanticism,27
fornasetti,surrealism,18
forrest-bess,expressionism,3
fra-angelico,early renaissance,168
fra-bartolomeo,high renaissance,16
frances-hodgkins,post-impressionism,15
frances-macdonald-macnair,art nouveau (modern),17
francesc-masriera,art nouveau (modern),3
francesco-botticini,early renaissance,30
francesco-de-rossi-francesco-salviati,mannerism (late renaissance),95
francesco-del-cossa,early renaissance,11
francesco-guardi,baroque,24
francesco-hayez,romanticism,63
francesco-ribalta,baroque,16
francesco-solimena,baroque,28
francis-bacon,expressionism,151
francis-bott,art informel,17
francis-gruber,expressionism,21
francis-picabia,surrealism,33
francisc-sirato,post-impressionism,24
francisco-bayeu-y-subias,rococo,8
francisco-de-zurbaran,baroque,92
francisco-goya,romanticism,241
francisco-herrera,baroque,12
francisco-oller,impressionism,16
francisco-pacheco,mannerism (late renaissance),19
francisco-toledo,surrealism,36
francois-arnal,art informel,27
francois-boucher,rococo,61
francois-gerard,neoclassicism,27
francois-lemoyne,rococo,14
francois-morellet,minimalism,7
frank-auerbach,expressionism,41
frank-bowling,abstract expressionism,10
frank-cadogan-cowper,romanticism,7
frank-dicksee,romanticism,15
frank-johnston,art nouveau (modern),8
frank-lobdell,abstract expressionism,16
frank-omeara,impressionism,2
frank-stella,color field painting,44
frank-w-benson,impressionism,42
frank-xavier-leyendecker,art nouveau (modern),12
franklin-carmichael,art nouveau (modern),21
frans-hals,baroque,138
frans-snyders,baroque,55
frans-van-mieris-the-elder,baroque,16
frantisek-kupka,expressionism,20
franz-kline,expressionism,2
franz-marc,expressionism,39
franz-richard-unterberger,romanticism,34
franz-sedlacek,expressionism,6
franz-stuck,symbolism,67
franz-xaver-winterhalter,neoclassicism,58
fred-sandback,minimalism,7
fred-williams,expressionism,15
fred-yates,naïve art (primitivism),16
frederic-bazille,impressionism,45
frederic-edwin-church,romanticism,32
frederic-leighton,academicism,91
frederic-matys-thursz,minimalism,7
frederic-remington,impressionism,35
frederick-carl-frieseke,impressionism,33
frederick-george-cotman,romanticism,29
frederick-hammersley,expressionism,1
frederick-mccubbin,impressionism,20
frederick-morgan,romanticism,21
frederick-varley,expressionism,6
frederick-william-burton,romanticism,8
frida-kahlo,naïve art (primitivism),84
friedel-dzubas,lyrical abstraction,40
frits-thaulow,impressionism,40
fritz-rehm,art nouveau (modern),5
fritz-winter,art informel,32
fujishima-takeji,impressionism,51
fyodor-bronnikov,romanticism,49
fyodor-rokotov,rococo,37
fyodor-solntsev,romanticism,37
fyodor-vasilyev,realism,112
gabriel-ferrier,romanticism,4
gabriel-metsu,baroque,48
gabriel-von-max,romanticism,20
gabriele-munter,expressionism,25
galileo-chini,art nouveau (modern),4
gandy-brodie,abstract expressionism,17
gary-wragg,abstract expressionism,7
gavin-hamilton,neoclassicism,15
gazmend-freitag,realism,79
gebre-kristos-desta,abstract expressionism,10
gego,minimalism,6
gene-davis,color field painting,133
genevieve-asse,minimalism,23
gennady-mironov,realism,2
gentile-bellini,early renaissance,22
georg,impressionism,1
georg-baselitz,neo-expressionism,31
georg-pauli,impressionism,11
george-barbier,art nouveau (modern),19
george-bellows,impressionism,2
george-bouzianis,expressionism,74
george-caleb-bingham,naïve art (primitivism),7
george-catlin,realism,29
george-dawe,neoclassicism,29
george-demetrescu-mirea,academicism,14
george-folingsby,academicism,4
george-frederick-watts,romanticism,40
george-harvey,romanticism,122
george-hemming-mason,romanticism,22
george-henry,impressionism,23
george-lambert,rococo,37
george-luks,impressionism,8
george-mavroides,expressionism,22
george-morland,rococo,87
george-pemba,expressionism,4
george-philip-reinagle,romanticism,13
george-romney,rococo,212
george-saru,abstract art,19
george-segal,expressionism,7
george-stefanescu,expressionism,121
george-stubbs,romanticism,75
george-tooker,magic realism,7
george-washington-lambert,symbolism,39
georges-braque,expressionism,46
georges-hugnet,surrealism,1
georges-lacombe,symbolism,6
georges-lallemand,baroque,6
georges-lemmen,post-impressionism,8
georges-papazoff,surrealism,28
georges-ribemont-dessaignes,surrealism,5
georges-rouault,expressionism,15
georges-seurat,post-impressionism,42
georges-valmier,cubism,40
georges-vantongerloo,post-impressionism,1
georgi-kovachev,expressionism,21
georgi-mashev,symbolism,8
georgia-o-keeffe,abstract art,19
georgina-de-albuquerque,impressionism,13
georgios-jakobides,realism,27
georgy-yakulov,cubism,2
gerard-david,northern renaissance,54
gerard-fromanger,pop art,23
gerard-sekoto,expressionism,34
gerard-terborch,baroque,47
gerard-van-honthorst,baroque,110
gerardo-dottori,abstract art,1
gerhard-richter,abstract expressionism,29
gerrit-dou,baroque,73
geta-bratescu,abstract expressionism,18
gevorg-bashindzhagian,realism,8
gheorghe-tattarescu,neoclassicism,11
gherasim-luca,surrealism,20
